chemical_name,pest_name,crop_name,dosage
Aphids: Foliar Application Soil drench,25 50,100 200,500 400 – 500
Psylla,25,100,1000
"Green leaf hopper, Thrips, Whorl Maggot",500,2000,250 ml/sq.mtr
White flies,100,400,500
Aphids,25,100,500
"Diamond back moth, Aphids",150,1000,500
"Leaf hopper, Thrips, Bollworms",400 + 80.,800,
"Aphid, Jassids, Thrips & White fly.",425,850,
"American bollworm, Sucking pest",500 + 60.,2000,500
"Stem borer, Leaf folder, Brown Plant Hopper",500 + 50,1000,500
"Aphid, Jassids, Thrips, Whitefly, Bollworms",518,1000,500
"Brown Plant Hopper, Green Leaf Hopper, Stem borer & Leaf folder",518,1000,500
"Termite, White grubs, Early Shoot borer, Black bug, Pyrilla",1250 + 45,2500,500
"Jassids (Amrasca biguttula biguttula), Aphid (Aphis gossypii), Whitefly (Bemisia tabaci), Thrips (Scirtothrips dorsalis), Fruit borer (Helicoverpa armigera), Tobacco caterpillar (Spodoptera litura)",518,1000,500
"Diamond back moth (Plutella xylostella), Tobacco caterpillar (Spodoptera litura) and Aphid (Lipaphis erysimi)",15+15,75,500
"Stem borer, Brown plant hopper, White backed plant hopper",10 + 500,2.50,
"Aphids, Jassids, Thrips, Bollworms",10 + 50,1000,
Thrips and fruit borer,50+100,1000,
"Yellow stem borer, leaf folder, brown plant hopper",62.5+ 125,1250,
Aphids and Jassids,0.9+0.15 +18.0,60,
"Brown Plant Hopper, White Backed Plant Hopper and Green",50+100 – 70+140,500-700,
"Brown Plant Hopper, White Backed Plant Hopper",75 + 25,750,
"Brown Plant Hopper, White Backed Plant Hopper",60-75 + 40-50,400-500,
Brown plant hopper,54 + 144,600,500
"Jassids, Thrips & White fly",187.5 + 437.5,1250,500
Jassids & White fly,112.5 + 262.5,750,500
"Brown plant hopper, White backed plant hopper",187.5 + 437.5,1250,500
"Stem Borer, Leaf folder, Brown plant hopper",200 + 500,1000,500
"Thrips, Jassids, Mealy bug",250 + 625,1250,500
"Brown plant hopper, White backed plant hopper, Leaf Folder, Green Leaf Hopper, Stem Borer",176,800,400
Brown plant hopper,110 + 15,500,400 – 500
Brown plant hopper (Nilparvata lugens),173.25 + 28.88,750,500
"Yellow stem borer, Brown plant hopper, Leaf folder,",480,800,500
Yellow stem borer (Scirpophaga incertulas),18.75 + 562.5,7.5,-
"Stem borer, Leaf folder",675 – 900,15 – 20,-
"Leaf worm, Girdle beetle, Semilooper, Stem fly",28,200,500
"Thrips, Mites and Fruit Borer",26.875 + 10.625,625,500
"Fruit Borer, Leaf Miner, mites",21.5 + 8.5,500,500
Pod borer,30,200,500
Bollworms complex,37.50,250,500
"Shoot and fruit borer, Jassids",28,200,500
"Shoot and fruit borer, Jassids",28,200,500
"Stem borer, Leaf folder & Green leaf hopper",28 – 35,200 – 250,500
"Leaf Worm, Girdle Beetle, Semi looper, Stem Fly",28,200,500
"Shoot & Fruit Borer, Jassids",28,200,500
"Leaf miner, Leaf feeder, Thrips",28,200,500
"Pod Borers (Spodoptera litura, Maruca vitrata, Helicoverpa armigera)",28 (18.6+9.20),200,500
"Stem borer, Leaf folder, Brown plant hopper, Green leaf hopper",30.0 + 60.0,6 kg/ha,-
"Leaf Miner, Whitefly, Fruit borer",150 (50+100),"500 Application method-Soil drench (Single application), Application time-8-10 days after transplanting",50-100 ml/plant
"Stem borer, Leaf folder, Green leaf Hopper",180 (60+ 120),"600 Application method-Soil drench (Single application), Application time-At the time of sowing to before transplanting",100L/ha
"Stem borer, Leaf folder",312 + 32,625 – 750,500 – 700
Shoot & Fruit Borer,500+50,1000,500
Diamond Back Moth,375+37.5,750,500
"Spotted bollworm, Pink bollworm, American bollworm",425,2500,500 – 750
"Whitefly, Jassid, Thrips and Aphids",44+100,1250,500
"Whitefly, Jassid, Thrips and Aphids",44+100 – 52.5+120,1250-1500,500
"Jassids, Whitefly, Thrips, Aphids, Pink bollworm",300 (50 + 250),625,500
"Thrips, Mites, Whitefly, Fruit borer",300 (50 + 250),625,500
"Stem borer, Leaf folder",20 (10+10),50,500
"Jassids, Thrips, Bollworms",50 +50,500,400 – 1000
Yellow stem Borer,25 + 25,250,500
Shoot & Fruit borer,-,350 – 400,500 – 600
"American bollworm, Spotted bollworm, Jassids",-,1000 – 1250,500 – 600
"Brown plant hopper, Leaf folder",0.78 + 62.50- 0.94 + 75.00,1250 + 1500,500
"Thrips (Thrips tabaci), Leaf hopper (Amrasca devastans), Whitefly (Bemisia tabaci), Aphid (Aphis gossypii)",293.75 + 58.7,625,500
"Thrips (Scirtothrips dorsalis), Aphids (Aphis gossypii)",293.75 + 58.7,625,500
"Thrips (Thrips palmi), Jassids (Amrasca bigutulla bigutulla), Whiteflies (Bemisia tabaci), Mites (Tetranychus urticae)",300 + 50,625,500
"Thrips (Thrips palmi), Jassids (Amrasca bigutulla bigutulla), Whiteflies (Bemisia tabaci), Mites",300 + 50,625,500
Mites & Whitefly,300+80,1000,500
Whitefly,300+80,1000,500
"shoot and fruit borer (Leucinodes orbonalis), Jassids (Amrasca biguttula biguttula) and Epilachana Beetle (Henosepilachna vigintioctopunctata)",122.9 + 18.4 (141.3),800,500
Brown Plant Hopper & white Backed Plant Hopper,35 + 400,500,500
"Aphids, Jassids, Thrips & White flies.",22 + 275,880,500
"Brown plant hopper, White backed Plant hopper, Green leaf hopper and Leaf folder",50 + 500,1000,500
"Brown plant hopper (Nilparvata lugens), White backed plant hoppers (Sogatella furcifera)",164.5,350,500
"Brown Plant Hopper, white Backed Plant",200,333,500
"Aphids , Jassids, thrips, whitefly & Pink Bollworm",11 + 300,1000,500
"Aphids, Thrips, Whitefly, red Spider Mites, Shoot borer and fruit borer",11 + 300,1000,500
"Thrips, Fruit borer",07.5 + 17.5- 11.25 + 26.25,500 – 750,500
"Fruit borer (Helicoverpa armigera), Thrips (Thrips tabaci), Mites (Tetranychus urticae)",8.75 + 12.5,250,500-700
Diamond Back Moth (Plutella xylostella) Fruit borer (Spodoptera litura & Helicoverpa armigera),27 (Emamectin benzoate 3.0 + Lufenuron 24.0),60,500
"Fruit borer (Spodoptera litura & Helicoverpa armigera), Thrips (Scritothrips dorsalis), Mites (Polypagotarsonem us latus)",27 (Emamectin benzoate 3.0 + Lufenuron 24.0),60,500
Spodoptera frugiperda (FAW),16.5 + 114.75,750,500
"Whiteflies, Jassids, Thrips, Aphids and Pink Boll Worm",10.5 + 245,700,500
"Yellow Mites, Thrips and Fruit Borer",10.5+245,700,500
Fall armyworm,11.25+262.5,750,500
"Aphid (Aphis gossypii), Jassid (Amrasca devastans), Whitefly (Bemisia tabaci), Shoot and fruit borer (Earias vittela).",3.8 + 20,100,500-700
American bollworm,400 + 50,1000,500
Mites and Thrips,600 + 75,1500,500
Brown plant hopper,37.50 + 37.50,93.75,375
White backed plant hopper,50 + 50,125,375
Brown plant hopper & White backed plant hopper,40.12+150 to 45.48+170,375-425,375
Red Spider mite (Tetranychus urticae) Whitefly (Bemisia tabaci),125+50,1250,500
Red Spider mite (Oligonychus coffeae) Mosquito Bug (Helopeltis theivora),100+40,1000,400
"Brown plant hopper, Green leaf hopper",400 + 100,2000,500
"Brown plant hopper, Green leaf hopper & White Backed Plant Hopper",393.75 + 196.875 + 43.75,1750,500
Thrips,37.5+150,750,500
Fruit Borer,50+200,1000,
"Jassids, Thrips. Aphid & Whitefly",50+200,1000,500
Brown Plant Hopper,25 + 100,500,500
"Thrips, Fruit borer",48 + 48 – 60 + 60,200 – 250,500
"Yellow stem borer, Leaf folder",60 + 60,250,500
Mosquito Bug and Semi looper,60 + 60,250,400
"Aphid, Jassids, Whitefly",40 + 40,1000,500
"Aphids, Jassids, Thrips",75 + 25,500,500
Pink bollworm,90 + 30,600,
White grub (Holotrichia consanguinea),175 + 175- 200 + 200,437.5-500,1000 – 1250
White Grubs (Holotrichia serrata),100 + 100 to 120 + 120,250 – 300,1000
Jassids and Thrips,50 + 50,125,500
"Yellow Stem Borer (Scirpophaga incertulas), Leaf Folder (Cnaphalocrocis medinalis), Brown Plant Hopper",40+40 – 50+50,100-125,500
"Thrips (Scirtothrips dorsalis), Fruit Borer (Helicoverpa armigera)",30+30 – 40+40,75 – 100,500
"Brown Plant Hopper, Green Leaf Hopper & White Backed Plant Hopper",44 + 44,1100,500
Mites and Thrips,70 + 20,1000,500
"Aphid, Jassid, thrip, whitefly, mealy bug and bollworm",60 + 60,400,500
"Brown plant hopper, green leaf hopper, stem borer and leaf folder",60 + 60,400,500
Leaf hopper – Amrasca biguttula biguttula Thrips – Thrips palmi Fruit & shoot Borer – Leucinodes orbonalis Red spider mite – Tetranychus urticae Whitefly – Bemisia tabaci,38 + 95,1000,500
"Thrips- Scirtothrips dorsalis, Fruit borer- Helicovepra armigera, Tobacco caterpillar- Spodoptera litura. Yellow mite – Polyphagotarsonemu s latus",38 + 95,1000,500
"Mites, Thrips, Jassids, Aphids & White fly",22.75 + 273,650,500
"Aphids, Termites",1.89-2.52,3.4,-
"Termites, Thrips, Jassids, Root grubs, Collar rot, Stem rot, Tikka leaf spot & Rust",37 + 3,200,Not applicable
"Termites, Aphids, Smut, Rust",37 + 3,200,Not applicable
"Stem borer, Hispa, Plant hopper, Gundhi bug",18 + 12,300,500
Thrips,37.5+37.5 – 50+50,750-1000,500
Diamond back Moth,37.5+37.5 – 50+50,750-1000,500
"Jassids, Whitefly, Bollworms",88.8 – 111,400 – 500,500
"Thrips, Fruit borer",88.8 – 111,400 – 500,500
Whitefly and fruit borer,75 + 75,750,500
"Stem borer, Brown plant hopper, Green leaf hopper, Whorl maggot",280+50,1000,500
"Diamond Back Moth (Plutella xylostella), Tobacco Caterpillar (Spodoptera litura)",45.94 + 7.87,875,500
"Gram Pod Borer (Helicoverpa armigera), Tobacco Caterpillar (Spodoptera litura)",45.94 + 7.87,875,500
Gram Pod Borer (Helicoverpa armigera),45.94 + 7.87,875,500
Stem Borer (Scirpophaga incertulas),78.75 + 13.50,1500,500
Fruit borer (Helicoverpa armigera) & Leaf eating caterpillar (Spodoptera litura),43.31 + 37.13- 45.94 + 39.38,825 – 875,500
Gram pod borer (Helicoverpa armigera),43.31 + 37.13- 45.94 + 39.38,825 – 875,500
"Spodoptera spp., Helicoverpa armigera and Semilooper",43.31 + 37.13- 45.94 + 39.38,825 – 875,500
Pod borer complex (Helicoverpa armigera & Melanogromyza abtuse),43.31 + 37.13- 45.94 + 39.38,825 – 875,500
"Black gram pod borer complex (Etiella zinckenella, Spodoptera litura and Maruca vitrata)",43.31 + 37.13- 45.94 + 39.38,825 – 875,500
Rice leaf folder (Cnaphalocrosis medinalis),22.97 + 19.69,437.5,500
Helicoverpa armigera & Spodoptera litura,45.94 + 39.38,875,500
"Yellow Stem Borer, Leaf Folder and Brown Plant Hopper",450+60,1000,500
Bollworm complex,440 – 660,1000 – 1500,500 – 1000
"Pink Bollworm (Pectinophora 70ossipiella), Thrips (Thrips tabaci), Aphids (Aphis gossypii), Jassids (Amrasca biguttula) and Whitefly (Bemisia tabaci)",825 (750 + 75),1500,500
"Thrips, Mites, Fruit borer",0.4 + 0.025,1000,500
"Whitefle, Mites (Tetranychus",0.4 + 0.025,1000,500
"Aphids, thrips, Leafhopper, Whitefly, Bollworm",400 + 15,1000,500-1000
"Mite , White fly &",594 + 59.4 –,1100 – 1150,500
"Mite , White fly & Jassids",594 + 59.4 – 621 + 62.1,1100 – 1150,500
Red spider Mites,525 + 25,1250,400 – 500
Yellow Mite,525 + 25,1250,500
European Red Mite,4.2 + 0.2 (g/10 L water),10 (ml/10 L water),10-15 L/tree depending on tree canopy
"Pests: Brown Plant Hopper, White Backed Plant Hopper, Green Leaf Hopper, Yellow Stem Borer, Leaf Folder Diseases: Sheath Blight, Leaf Blast",100 + 70 + 50,400,500
"Yellow stem borer, Leaf folder, Brown Plant Hopper (BPH), Sheath Blight, Leaf blast",50+100,1000,500
"Thrips, Chilli fruit Borer, Powdery Mildew, Anthracnose/ Fruit",50+100,1000,500
"Aphids, Jassids, termites and white grub",2.45 + 10.5 + 15.75,70 ml / 10 Kg of seed,Not applicable for seed treatment
Bollworms,25 + 75- 37.5 + 112.5,500-750,500-750
Whitefly,60 + 60,600,500
"Whitefly, Shoot & fruit borer",25 + 75 - 37.5 + 112.5,500 - 750,500 – 750
"Whitefly, Fruit borer",25 + 75- 37.5 + 112.5,500 – 750,500 – 750
"Whitefly, Fruit borer",25 + 75- 37.5 + 112.5,500 – 750,500 – 750
"Whitefly (Bemisia tabaci), Thrips (Thrips tabaci), Jassid (Amrasca biguttula biguttula), Aphid (Aphis gossypi)",50 + 250- 62.50 + 312.5,1000 – 1250,500
"Whitefly (Bemisia tabaci), Thrips (Thrips tabaci) and Mites (Polyphagotarsone mus latus)",37.5 + 187.5 – 50 + 250,750 - 1000,500
Whitefly,60 + 60,600,500
"Whitefly, Jassid, Thrips and Aphids",48+30+108 to 66+41.25+148.5,600-825,500
"Whitefly, Jassids, Thrips and Aphids",48 + 30 + 108,600,500
Habitat,Dosage/ha (Kg.),-,Waiting period
"Water bodies (Cess pits, Drains, Disused wells and Pools)",1.25-3.0,-,-
a.i. (gm),Formulation,-,Dilution in water (litres)
400,1000,-,80
,Spray Deposit Rate (g.a.i/sq. meter),g. a.i per 500 sq. mtrs,Formulation Dose (ml)
25,0.025,12.5,1.25
,Infestation,Requirement mg a.i./sq.m,Formulatio n (ml)/ liter water
,Moderate,20,4
,High,25,5
,a.i. (gm),Formulation (gm),
For household use,10,100,10
,a.i. (gm),Formulation (gm),Dilution in water (Liter)
Adult mosquitoes,02/m2,08/m2,100
,a.i. (gm),Formulation (ml),
"Anopheles stephensi, Aedes aegypti",30,0.03 ml/m2,Every 12 weeks
"Culex quinquefasciatus, Anopheles subpictus",60,0.06 ml/m2,Every 6th week
,a.i. (gm),Formulation (Kg.),
,10 (0.01ppm),2,08 weeks
,20 (0.02ppm),4,08 weeks
Name of the pest,Dosage,-,Waiting period
Mosquito larvae,25 ml/ha,-,-
Brown Plant Hopper (Nilaparvatha Lugens),90,375,500
White backed plant hopper (Sogatella furcifera),90,375,500
"Jassids (Amarasca bigutella),",75,313,500
Aphid (Aphis gossypi),75,313,500
Whitefly (Bemmissia tabaci),90,375,500
Cotton mealy bug (Phenococcus spp.),90,375,500
,a.i. (g),Formulation (ml),
Mosquitoes larvae,37.5 - 125,75 - 250,200
25,0.250 for each spray,100 gm of Cyfluthrin 10% WP to be diluted in 8 liters of potable water 40 gm of Cyfluthrin 10% WP to be diluted in 10% litres water.,
,25-40,250 - 400,Dilute 250-400 gm of Cyfluthrin 10% WP in 10 litres of water to cover 500 m2 areas.
"Cockroaches, House flies, mosquitoes, in- house. Bed net impregnation",8.0 ml,1.0,50 ml diluted solution/m2
,a.i.,Formulation,
"For impregnation of polyester , nylon and cotton bed net",25 mg,1 ml,-
,a.i.,Formulation,Dilution in water (Liter)
Grain and seeds in stacks,30 mg/m2,1.2 g/m2,1 Liter for 30 m2
Grain and seeds in stacks,30 mg/m2,1.2 g/m2,1 Liter for 30 m2
"Walls, Ceilings & Floor",30 mg/m2,1.2 g/m2,1 Liter for 30 m2
Habitat,Dosage,Dilution in water,
Unused Coolers,0.5-1.0 ppm,0.5-1.0 tablet in 40 liter water,
-,-,Bait mixed with water in 1:2 ratio,
Habitat,Dosage/ha (kg.),Waiting period,
Poultry Manure & kitchen garbage,1.50-2.00 ml/liter water (5 litre of water /10 m2,-,
Habitat,Dosage,Dilution in water,
Clean surface water,25 - 50 g a.i./ha,-,
Polluted surface water,50 - 100 g a.i./ha,-,
"Sewage pits, Soak pits, Latrines, Septic tanks",01.0 mg a.i./liter,-,
"In poultry manure garbage, filth & dumping areas",5.0 gm/10 m2,05 liters water/10 m2,
,g a.i.,Formulation (ml),
0.001 g a.i./m2,1.0 gm of Gel Bait/m2 (2-5 spots),"Place “Ready to Use Gel Bait” (RB) for use as spot or cracks and crevices treatment in residential institutional, commercial and industrial areas e.g. application at or near harborage or aggregation areas, such as corners, areas where cockroaches forage or crack and crevices, holes, hidden surfaces, any other places where cockroaches are typically known to hide etc. for the control of cockroaches.",
0.001 g a.i./m2,1.0 gm of Gel Bait/m2 (1-2 spots),"Place “Ready to Use Gel Bait” (RB) for use as spot or cracks and crevices treatment in residential institutional, commercial and industrial areas e.g. application at or near harborage or aggregation areas, such as corners, areas where cockroaches forage or crack and crevices, holes, hidden surfaces, any other places where cockroaches are typically known to hide etc. for the control of cockroaches.",
,Dose (g a.i.),Formulation (ml),Instruction for use
,2,10,Take 10 ml of BILFOL 20 and dilute in 200 ml of kerosene. Apply spot spray thoroughly in all bed bug infested areas like charpoy furniture etc. taking care that the spray is the directed into cracks and crevices where bedbugs are hiding. 200 ml of spray wash will approx cover 10 m2 it can also be
,a.i. (mg),Concentration of spray fluid,Quantity of spray fluid (ml)
,10.0,0.05% 800-,1000 (depending on the type of the net)
,20 - 30 mg/m2,10-15 ml/litres of water to cover 50 m2 area,
0.5,0.01,Dissolve 5 ml of formulated material in kerosene to cover 500 square meter area.,
3.5,70,Dissolve 70 ml Formulation in kerosene to cover 1 hectare area.,
Dose (g a.i.),Formulation Dose,Application/Usage,
0.0001 g.a.i. per spot (2-4 spots per square meter),1.0 gm of gel bait per spot (2-4 spots per square meter),"Locate the ant trails or location where ants are most active. Place” Ready to Use Gel Bait” (RB) for controlling ants for use as spot or cracks and crevices treatment in residential, Institutional, commercial and industrial areas e.g. application at or near harborage or aggregation areas, such as corners areas where ants forage or crack and crevices, holes, hidden surfaces any other places where ants are typically known to hide.",
,Hoppers,Adults,
Chlorpyriphos 20 % & 50 % EC,240,240,
Deltamethrin 2.8 % EC & 1.25 % ULV,12.5,12.5,
Diflubenzuron 25 % WP,60,NA,
Fipronil 5 % SC & 2.92 % EC,6.25,6.25,
Lambdacyhalothrin 5 % EC & 10% WP,20,20,
Malathion 50 % EC & 25 % WP & 96 %ULV,925,925,
